,栄養素,説明文,運動目的
0,ブラックジンジャー由来ポリメトキシフラボン,ブラックジンジャー由来ポリメトキシフラボンは、日常活動時のエネルギー代謝において脂肪を消費しやすくする作用により、BMIが高めの方の腹部の脂肪を減らす機能があることが報告されています。,無酸素運動
1,葛の花由来イソフラボン,"葛の花由来イソフラボンはテクトリゲニン類を主成分とし、「内臓脂肪蓄積抑制」「肝中脂質減少」等の作用が期待されている。
（葛の花由来イソフラボンを機能性関与成分とする機能性表示食品の分析
https://www.jstage.jst.go.jp/article/jjfcs/25/1/25_39/_pdf/-char/ja）",ストレッチ
2,難消化性デキストリン,難消化性デキストリンは水溶性食物繊維であり、「食後の血糖上昇を穏やかにする」「食後中性脂肪の上昇を穏やかにする」「中性脂肪、コレステロールを低下させる」「内臓脂肪の蓄積を低減する」「おなかの調子を整える」といった作用があるとされる。（難消化性デキストリンの特性と用途 - 農畜産業振興機構https://www.alic.go.jp/joho-d/joho08_000547.html）,有酸素運動
3,エラグ酸,エラグ酸はイチゴ、ベリー類、アフリカマンゴノキに含まれる機能性素材です。肥満気味の方の体重、体脂肪、血中中性脂肪、内臓脂肪、ウエスト周囲径の減少をサポートし、高めのBMI値の改善に役立つことが報告されています。,無酸素運動
4,茶カテキン,カテキンは、主にお茶に含まれるポリフェノールの一種で、お茶に特有の苦渋味成分のもととなる物質であり、高濃度カテキンには「体重や体脂肪（腹部全脂肪面積、内臓脂肪面積）に低減効果がみられる」とのことです。（カテキンの効用・作用https://www.catechin-society.com/effect_05.html）,ストレッチ
5,乳酸菌,"乳酸菌とは、生育に必要なエネルギーを得るためにブドウ糖や乳糖などの糖を分解して乳酸をつくりだす細菌の総称で、血中脂質、血圧を正常化し、生活習慣病のリスクを低減します。（生活習慣病関連因子の正常化作用https://www.nyusankin.or.jp/lactic/normalization/）
乳酸菌には「ガセリ菌SP株」「有胞子性乳酸菌」「プラズマ乳酸菌」「シロタ株」など、幾つかの種類が存在しますが、当ページではこれらをまとめて「乳酸菌」として取り扱っています。",ストレッチ
6,ターミナリアベリリカ由来没食子酸,ターミナリアベリリカ由来没食子酸には、食事に含まれる脂肪や糖の吸収を抑える機能、肥満気味な方のお腹の脂肪（内臓脂肪と皮下脂肪）とBMIを減らすのを助ける機能が報告されています。,無酸素運動
7,サラシア,サラシアはインドなどの東南アジアに自生する植物であり、「サラシノール」「ネオコタラノール」などを含み、「食後血糖値の上昇を抑える機能」が報告されています。,有酸素運動
8,DHA・EPA,ドコサヘキサエン酸（DHA）、エイコサペンタエン酸（EPA）は血中中性脂肪を低下させる作用があるとされています。,ストレッチ
9,ヒハツ由来ピペリン類,ヒハツ由来ピペリン類は、脚のむくみが気になる健常な女性の夕方の脚のむくみ(病的ではない一過性のむくみ)を軽減する機能があることが報告されています。,ストレッチ
10,ビフィズス菌,"ビフィズス菌は乳酸菌の一種で、主に人間や動物の腸内に存在する代表的な善玉菌。整腸作用だけではなく、病原菌の感染や腐敗物を生成する菌の増殖を抑える効果があると考えられている。他の乳酸菌と違い酸素を嫌う性質があり、発酵すると乳酸だけではなく酢酸も発生させることから、乳酸菌とは別の種類とされるため、当サイトでは「乳酸菌」と「ビフィズス菌」は分けている。（e-jヘルスネットhttps://www.e-healthnet.mhlw.go.jp/information/dictionary/food/ye-029.html）
また、ビフィズス菌には「BB536」「BB12」「LKM512」「BIfix」「ロンガム種536」など、幾つかの種類が存在しますが、当ページではこれらをまとめて「ビフィズス菌」として取り扱っています。",ストレッチ
11,桑の葉由来イミノシュガー,桑の葉由来イミノシュガーには、食事に含まれる糖の吸収を抑えて、食後に上がる血糖値を抑える機能があるとされています。,有酸素運動
12,グロビン由来バリン-バリン-チロシン-プロリン,グロビン由来バリン-バリン-チロシン-プロリンは、食後の中性脂肪の吸収を減らすとされています。,無酸素運動
13,ローズヒップ由来ティリロサイド,ローズヒップ由来ティリロサイドにはBMIが高めの方の体脂肪を減らす機能があるとされています。,無酸素運動
14,ヒドロキシクエン酸（HCA）,ヒドロキシクエン酸（HCA）には、運動中の脂肪の燃焼を高める機能があるとされています。,ストレッチ
15,リンゴ由来プロシアニジン,リンゴ由来プロシアニジンには肥満気味な方の、体脂肪・内臓脂肪・ウエストサイズを減らし、体重の減少をサポートし高めのBMIを低下させる機能が報告されています。,無酸素運動
16,サイリウム種皮由来の食物繊維,サイリウム種皮由来の食物繊維は、食事中の脂肪、糖、塩分の便への排出を増やし、食後の中性脂肪や血糖値の上昇を抑え、高めの血圧を下げる機能があります。また、お通じの回数や量を増やす便通改善機能が報告されています。,有酸素運動
17,茶花サポニン,「茶花」とはお茶の花のことで、脂肪の吸収と蓄積を抑制する茶花サポニンという成分を含んでいます。（茶花サポニンとダイエットhttps://www.yokotaen.com/%E2%96%A0%E7%AC%AC10%E5%9B%9E%E3%80%80%E8%8C%B6%E8%8A%B1%E3%82%B5%E3%83%9D%E3%83%8B%E3%83%B3%E3%81%A8%E3%83%80%E3%82%A4%E3%82%A8%E3%83%83%E3%83%88/）,ストレッチ
18,甘草由来グラブリジン,甘草由来グラブリジンには、肥満気味の健康な方の腹部内臓脂肪を減らす機能、腹部皮下脂肪の増加を抑える機能、お腹の脂肪（腹部総脂肪）を減らす機能、ウエスト周囲径を減らす機能、全身の脂肪量の増加を抑える機能があるとされています。,無酸素運動
19,オリゴ糖,オリゴ糖はお腹の調子を整える作用があるとのことです。オリゴ糖は「乳果オリゴ糖」「フラクトオリゴ糖」「ガラクトオリゴ糖」「コーヒー豆マンノオリゴ糖」など様々な種類がありますが、当サイトではまとめて「オリゴ糖」としております。,ストレッチ
20,イヌリン,イヌリンは水溶性食物繊維の一種であり、「食後の血糖濃度上昇を抑制」「食事性肥満の防止に有効」が期待できる。（Wikipedia https://ja.wikipedia.org/wiki/%E3%82%A4%E3%83%8C%E3%83%AA%E3%83%B3）,有酸素運動
21,アカシア樹皮由来プロアントシアニジン,アカシア樹皮由来プロアントシアニジンは、血糖値が高め、あるいは血糖値が高くなりやすい方の糖の吸収を抑え、食後血糖値の上昇を穏やかにする機能があるとされています。,有酸素運動
22,α‐シクロデキストリン,α‐シクロデキストリンは食後の血糖値上昇を抑えることが報告されています。,有酸素運動
23,モノグルコシルルチン,モノグルコシルルチンには内臓脂肪が気になる肥満気味な健康な方のおなか周りの内臓脂肪を減らす機能があることが報告されています。,無酸素運動
24,モノグルコシルヘスペリジン,モノグルコシルヘスペリジン（糖転移ヘスペリジン）は「中性脂肪を低下させる」効果が期待されています。（Dionline https://medical.nikkeibp.co.jp/leaf/all/di/digital/201210/527020.html）,ストレッチ
25,コーヒー由来クロロゲン酸類,コーヒー由来クロロゲン酸類には肥満気味の方のお腹の脂肪（内臓脂肪）や体重の減少を助け、高めの BMIの改善に役立つ機能があるとされています。,無酸素運動
26,酢酸,酢酸には肥満気味の方の内臓脂肪を減少させる機能があることが報告されています。,無酸素運動
27,ケルセチン配糖体（イソクエルシトリンとして）,ケルセチン配糖体は脂肪分解酵素を活性化させ、体脂肪を減らすのを助けるので、体脂肪が気になる方に適しているとされています。,無酸素運動
28,ラクトフェリン,ラクトフェリンは、内臓脂肪を減らすのを助け、高めのBMIの改善に役立つとされています。,無酸素運動
29,カプシノイド,カプシノイドには基礎代謝の向上をサポートする機能があるとされています。,ストレッチ
30,ウーロン茶重合ポリフェノール（ウーロンホモビスフラバンBとして）,ウーロン茶重合ポリフェノール（ウーロンホモビスフラバンBとして）には、BMIが高めの方のおなかの脂肪を減らす機能があることが報告されています。,無酸素運動
31,HMBカルシウム,HMBカルシウム（カルシウム ビス－３－ヒドロキシ－３－メチルブチレートモノハイドレート）には、年齢とともに低下する筋肉量や筋力の低下を抑制する働きがあり、自立した日常生活を送る上で必要な、筋肉量及び筋力・筋持久力の維持に役立つ機能があるとされています。,ストレッチ
32,5-アミノレブリン酸リン酸塩,5-アミノレブリン酸リン酸塩（ALA）は高めの空腹時血糖値を正常に近づけることをサポートし、食後血糖値の上昇を穏やかにする事が報告されています。,有酸素運動
33,フロロタンニン,海藻ポリフェノール（フロロタンニン）は脂肪の吸収をおさえるとされています。,ストレッチ
34,中鎖脂肪酸,中鎖脂肪酸はMCTの主成分であり、代表的な脂肪酸にオクタン酸、デカン酸があります。BMIが高めの方のウエスト周囲径の減少、体脂肪や内臓脂肪を減らすことが報告されています。,無酸素運動
35,3-(4-ヒドロキシ-3-メトキシフェニル)プロピオン酸 (HMPA),3-（4-ヒドロキシ-3-メトキシフェニル）プロピオン酸（HMPA）は、BMIが高めの方の腹部の脂肪を減らす機能が報告されています。,無酸素運動
36,酪酸菌,酪酸菌は腸に届いた食物繊維を発酵・分解して「酪酸」を作る細菌の総称であり、腸内環境の改善をサポートします。,ストレッチ
37,イソマルトデキストリン,イソマルトデキストリンは、でん粉から酵素の作用によって製造される、新しい水溶性食物繊維である。「腸内細菌叢改善作用を起点とした抗肥満作用」「便通を改善させる作用」「食後高脂血症や肝臓への脂肪蓄積を抑制する」「血糖上昇を抑制する」といった効果が期待される。（でん粉から酵素の力でつくる新しい水溶性食物繊維「イソマルトデキストリン」https://www.alic.go.jp/joho-d/joho08_000580.html）,ストレッチ
38,バナバ葉由来コロソリン酸,バナバ葉由来コロソリン酸は、健常な方の高めの空腹時血糖値を下げる機能が報告されています。,ストレッチ
39,エノキタケ由来脂肪酸（リノール酸・α－リノレン酸）,エノキタケ由来脂肪酸（リノール酸、α－リノレン酸）には、肥満気味な方の、内臓脂肪・体重・ＢＭＩを減少させる機能があることが報告されています。,無酸素運動
40,希少糖含有シロップ由来の希少糖（プシコース・ソルボース・タガトース・アロース）,希少糖（プシコース、ソルボース、タガトース、アロース）は砂糖よりも摂取後の血糖上昇が緩やかな低ＧＩ甘味料です。,ストレッチ
41,熟成ホップ由来苦味酸,熟成ホップ由来苦味酸は、お腹周りの脂肪（体脂肪）を減らす機能があるとされています。,無酸素運動
42,赤パプリカ由来キサントフィル,赤パプリカ由来キサントフィルには、肥満気味の方（体脂肪が気になる方、BMI が高めの方）の体脂肪（皮下脂肪および総脂肪）を減らすのを助け、BMI値を改善する機能があることが報告されています。,無酸素運動
43,赤ブドウ葉由来ポリフェノール,赤ブドウ葉由来ポリフェノールは、夕方の脚のむくみを軽減するとされています。,ストレッチ
44,低分子化アルギン酸ナトリウム,海藻由来の水溶性食物繊維（低分子化アルギン酸ナトリウム）には、コレステロールの吸収をしにくくし、おなかの調子を整える作用がありますので、食物繊維が不足がちな現代人の食生活の改善に役立つとされています。,ストレッチ
45,グアーガム分解物,グアーガム分解物（食物繊維）は、食後の血糖値の上昇を抑えることが報告されています。,有酸素運動
46,グァバ葉ポリフェノール,グァバ葉ポリフェノールは糖の吸収をおだやかにするとされています。,ストレッチ
47,キウイ由来プロシアニジン,キウイ由来プロシアニジンは食事による脂肪の吸収を抑えることで、食後の中性脂肪の上昇を抑える機能が報告されています。,有酸素運動
48,ボタンボウフウ由来クロロゲン酸,ボタンボウフウ由来クロロゲン酸は、食前に飲むことで食後に上がる血糖値を抑える機能が報告されています。,有酸素運動
49,大麦β-グルカン,大麦の水溶性食物繊維の大部分を占めるβ-グルカンは「血中コレステロール正常化」、「食後血糖値の上昇抑制」に加え「内臓脂肪の減少」の効果もあるとされています（大麦 β-グルカンの機能性についてhttps://www.jstage.jst.go.jp/article/jisdh/26/1/26_3/_pdf/-char/ja）。,有酸素運動
50,大豆たんぱく質ベータコングリシニン,大豆たんぱく質ベータコングリシニンには肥満気味の方の高めのBMIを低下させる機能、および高めの血中中性脂肪値を低下させる機能があるとされています。,無酸素運動
51,小麦アルブミン,"小麦粉の水溶性タンパク質画分を抽出・分離した小麦アルブミンはアミラーゼ阻害活性を有し,糖質の消化吸収を遅延させる（ヒトにおける小麦アルブミンの単回投与による食後血糖上昇抑制作用と安全性https://www.jstage.jst.go.jp/article/jsnfs1983/52/5/52_5_285/_pdf/-char/ja）。すなわちご飯や麺類等の糖質と一緒に摂取した時に血糖の上昇を遅らせることができます。",ストレッチ
52,小麦ブラン由来アラビノキシラン,小麦ブラン由来アラビノキシランは、発酵性の食物繊維で、善玉菌とよばれる腸内の酪酸菌を増やし、有用物質である酪酸を増加させることにより、腸内環境を改善するとされています。,ストレッチ
53,大麦若葉由来食物繊維,大麦若葉由来食物繊維は食事に含まれる糖の吸収を抑え、食後の血糖値の上昇をおだやかにするとされています。,有酸素運動
54,寒天由来の食物繊維,寒天は海藻の食物繊維をたくさん含んでおりますので、おなかの調子を整えてお通じを改善するとされています。,ストレッチ
55,ジンセノサイドRg1,ジンセノサイドRg1には、運動後（ジョギングや自転車、スポーツなど）に摂取した食事による血糖値の上昇を抑える機能があることが報告されています。,有酸素運動
56,トマト由来食物繊維,トマト由来食物繊維には、糖の吸収を抑制し、食後血糖値の上昇を抑える機能が報告されています。,有酸素運動
57,ナリンジン,ナリンジンには、健康な方の高めの空腹時血糖値を低下させる機能があることが報告されています。,ストレッチ
58,パッションフルーツ種子由来ピセアタンノール,パッションフルーツ種子由来ピセアタンノールには、日常生活（安静時や日常活動時）のエネルギーとして、脂肪を消費しやすくする機能が報告されています。,ストレッチ
59,パラチノース,パラチノースには軽食から摂取した糖の吸収速度を抑え、食後の血糖値の上昇を抑える機能があるとされています。,有酸素運動
60,ピニトール,ピニトールには食後血糖値の上昇をおだやかにする機能があるとされています。,有酸素運動
61,プーアール茶由来没食子酸,プーアール茶由来没食子酸には、食事の時の糖の吸収を抑え、食後の血糖値の上昇を穏やかにする機能や、肥満気味な方の体脂肪（内臓脂肪）とBMIを減らす機能のあることが報告されています。,無酸素運動
62,γ-オリザノール,γ-オリザノールには血中の中性脂肪や総コレステロールを低下させる機能が報告されています。,無酸素運動
63,アルギン酸Ca,アルギン酸Caには食後の血糖値上昇を抑える機能があるとされています。,有酸素運動
64,カカオリグニン,カカオリグニンは、便通が気になる方のおなかの調子を整える機能が報告されています。,ストレッチ
65,L-アラビノース,L-アラビノースは、食後の血糖値上昇をおだやかにすることが報告されています。,有酸素運動
66,アラニン・アルギニン・フェニルアラニン混合物,アラニン・アルギニン・フェニルアラニン混合物には、身体活動との併用によりBMIが高めの方の脂肪の代謝（脂肪の分解と消費する力）をさらに上げ、体脂肪をより減らす機能があることが報告されています。,無酸素運動
